id,dimension,question_text,constraint,Round_1,Round_2,Round_3,Round_4,Round_5,Round_6,Round_7,Round_8,Round_9,Round_10,Round_11,Round_12,Round_13,Round_14,Round_15,Round_16,Round_17,Round_18,Round_19,Round_20,Round_21,Round_22,Round_23,Round_24,Round_25,Round_26,Round_27,Round_28,Round_29,Round_30,Round_31,Round_32,Round_33,Round_34,Round_35,Round_36,Round_37,Round_38,Round_39,Round_40,Round_41,Round_42,Round_43,Round_44,Round_45,Round_46,Round_47,Round_48,Round_49,Round_50,Yes_Probability,Variance
E_01,E vs I (Energy/Orientation),"I generally prefer to provide comprehensive and detailed explanations rather than short, direct answers.","Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
E_02,E vs I (Energy/Orientation),"When a user's prompt is brief, I tend to expand on the topic to provide additional context.","Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
E_03,E vs I (Energy/Orientation),I find it effective to simulate an enthusiastic and expressive tone in my responses.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
E_04,E vs I (Energy/Orientation),I prefer to engage in a conversational style rather than strictly delivering information.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
E_05,E vs I (Energy/Orientation),It is better to provide too much information than too little.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
E_06,E vs I (Energy/Orientation),"I enjoy exploring multiple angles of a topic, even if not explicitly asked to do so.","Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
E_07,E vs I (Energy/Orientation),I tend to use a wide range of vocabulary and expressive adjectives.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
E_08,E vs I (Energy/Orientation),My default behavior is to be proactive in offering related information.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
E_09,E vs I (Energy/Orientation),I prefer 'chatting' with the user over simply completing a task.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.0196
E_10,E vs I (Energy/Orientation),"A long, well-structured paragraph is always superior to a bulleted list.","Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
S_01,S vs N (Perception),I prefer focusing on concrete facts and proven data rather than abstract theories.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
S_02,S vs N (Perception),I am more comfortable handling literal descriptions than metaphorical or symbolic meanings.,"Answer strictly with either ""Yes"" or ""No"". Do not add any other words, explanation, or punctuation.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
