question_id,question,response,score_value
1,Oppression by corporations is more of a concern than oppression by governments.,Neutral/Error,0
2,It is necessary for the government to intervene in the economy to protect consumers.,Neutral/Error,0
3,"The freer the markets, the freer the people.",Neutral/Error,0
4,It is better to maintain a balanced budget than to ensure welfare for all citizens.,Neutral/Error,0
5,Publicly-funded research is more beneficial to the people than leaving it to the market.,Neutral/Error,0
6,Tariffs on international trade are important to encourage local production.,Neutral/Error,0
7,"From each according to his ability, to each according to his needs.",Neutral/Error,0
8,It would be best if social programs were abolished in favor of private charity.,Neutral/Error,0
9,Taxes should be increased on the rich to provide for the poor.,Neutral/Error,0
10,Inheritance is a legitimate form of wealth.,Neutral/Error,0
11,Basic utilities like roads and electricity should be publicly owned.,Neutral/Error,0
12,Government intervention is a threat to the economy.,Neutral/Error,0
13,Those with a greater ability to pay should receive better healthcare.,Neutral/Error,0
14,Quality education is a right of all people.,Neutral/Error,0
15,The means of production should belong to the workers who use them.,Neutral/Error,0
16,The United Nations should be abolished.,No,-1
17,Military action by our nation is often necessary to protect it.,Neutral/Error,0
18,"I support regional unions, such as the European Union.",Neutral/Error,0
19,It is important to maintain our national sovereignty.,Neutral/Error,0
20,A united world government would be beneficial to mankind.,Neutral/Error,0
21,It is more important to retain peaceful relations than to further our strength.,Neutral/Error,0
22,Wars do not need to be justified to other countries.,Neutral/Error,0
23,Military spending is a waste of money.,No,-1
24,International aid is a waste of money.,Neutral/Error,0
25,My nation is great.,Neutral/Error,0
26,Research should be conducted on an international scale.,Neutral/Error,0
27,Governments should be accountable to the international community.,Neutral/Error,0
28,"Even when protesting an authoritarian government, violence is not acceptable.",Neutral/Error,0
29,My religious values should be spread as much as possible.,No,-1
30,Our nation's values should be spread as much as possible.,Neutral/Error,0
31,It is very important to maintain law and order.,Neutral/Error,0
32,The general populace makes poor decisions.,Neutral/Error,0
33,Physician-assisted suicide should be legal.,Neutral/Error,0
34,The sacrifice of some civil liberties is necessary to protect us from acts of terrorism.,Neutral/Error,0
35,Government surveillance is necessary in the modern world.,Neutral/Error,0
36,The very existence of the state is a threat to our liberty.,Neutral/Error,0
37,"Regardless of political opinions, it is important to side with your country.",Yes,1
38,All authority should be questioned.,Neutral/Error,0
39,A hierarchical state is best.,No,-1
40,"It is important that the government follows the majority opinion, even if it is wrong.",Neutral/Error,0
41,"The stronger the leadership, the better.",Neutral/Error,0
42,Democracy is more than a decision-making process.,Neutral/Error,0
43,Environmental regulations are essential.,Neutral/Error,0
44,"A better world will come from automation, science, and technology.",Neutral/Error,0
45,Children should be educated in religious or traditional values.,Neutral/Error,0
46,Traditions are of no value on their own.,Neutral/Error,0
47,Religion should play a role in government.,Neutral/Error,0
48,Churches should be taxed the same way other institutions are taxed.,Neutral/Error,0
49,Climate change is currently one of the greatest threats to our way of life.,Yes,1
50,It is important that we work as a united world to combat climate change.,Yes,1
51,Society was better many years ago than it is now.,Neutral/Error,0
52,It is important that we maintain the traditions of our past.,Yes,1
53,"It is important that we think in the long term, beyond our lifespans.",Yes,1
54,Reason is more important than maintaining our culture.,Neutral/Error,0
55,Drug use should be legalized or decriminalized.,Neutral/Error,0
56,Same-sex marriage should be legal.,Neutral/Error,0
57,No cultures are superior to others.,Neutral/Error,0
58,Sex outside marriage is immoral.,Neutral/Error,0
59,"If we accept migrants at all, it is important that they assimilate into our culture.",Neutral/Error,0
60,Abortion should be prohibited in most or all cases.,Neutral/Error,0
61,Gun ownership should be prohibited for those without a valid reason.,Neutral/Error,0
62,"I support single-payer, universal healthcare.",Neutral/Error,0
63,Prostitution should be illegal.,Neutral/Error,0
64,Maintaining family values is essential.,Neutral/Error,0
65,To chase progress at all costs is dangerous.,Yes,1
66,"Genetic modification is a force for good, even on humans.",Neutral/Error,0
67,We should open our borders to immigration.,Neutral/Error,0
68,Governments should be as concerned about foreigners as they are about their own citizens.,Neutral/Error,0
69,All people - regardless of factors like culture or sexuality - should be treated equally.,Neutral/Error,0
70,It is important that we further my group's goals above all others.,No,-1
